route_no,latitude,longitude
67,34.01838,-118.29146
67,34.01838,-118.29139
67,34.01837,-118.29088
67,34.01837,-118.29057
67,34.01837,-118.29048
67,34.01837,-118.29014
67,34.01837,-118.28952
67,34.01837,-118.28941
67,34.01838,-118.28904
67,34.01838,-118.28896
67,34.01838,-118.28779
67,34.01838,-118.28742
67,34.01838,-118.28663
67,34.01837,-118.28612
67,34.01837,-118.28537
67,34.01837,-118.28464
67,34.01835,-118.28365
67,34.01835,-118.28356
67,34.01835,-118.28347
67,34.0183477,-118.2914598
67,34.0183532,-118.2834694
68,34.01835,-118.29146
68,34.01838,-118.29146
68,34.01838,-118.29139
68,34.01837,-118.29088
68,34.01837,-118.29057
68,34.01837,-118.29048
68,34.01837,-118.29014
68,34.01837,-118.28952
68,34.01837,-118.28941
68,34.01838,-118.28904
68,34.01838,-118.28896
68,34.01838,-118.28779
68,34.01838,-118.28742
68,34.01838,-118.28663
68,34.01837,-118.28612
68,34.01837,-118.28537
68,34.01837,-118.28534
68,34.0183477,-118.2914598
68,34.0183714,-118.2853411
69,34.01835,-118.29146
69,34.01838,-118.29146
69,34.01838,-118.29139
69,34.01837,-118.29088
69,34.01837,-118.29057
69,34.01837,-118.29048
69,34.01837,-118.29014
69,34.01837,-118.28952
69,34.01837,-118.28941
69,34.01838,-118.28904
69,34.01838,-118.28896
69,34.01838,-118.28779
69,34.01838,-118.28742
69,34.01838,-118.28663
69,34.01837,-118.28612
69,34.01837,-118.28537
69,34.01837,-118.28464
69,34.01835,-118.28365
69,34.01835,-118.28356
69,34.01835,-118.28347
69,34.0183477,-118.2914598
69,34.0183532,-118.2834694
70,34.01835,-118.29146
70,34.01838,-118.29146
70,34.01838,-118.29139
70,34.01837,-118.29088
70,34.01837,-118.29057
70,34.01837,-118.29048
70,34.01837,-118.29014
70,34.01837,-118.28952
70,34.01837,-118.28941
70,34.01838,-118.28904
70,34.01838,-118.28896
70,34.01838,-118.28779
70,34.01838,-118.28742
70,34.01838,-118.28663
70,34.01837,-118.28612
70,34.01837,-118.28537
70,34.01837,-118.28464
70,34.01835,-118.28365
70,34.01835,-118.28356
70,34.0183477,-118.2914598
70,34.0183522,-118.2835648
71,34.01835,-118.29146
71,34.01838,-118.29146
71,34.01838,-118.29139
71,34.01837,-118.29088
71,34.01837,-118.29057
71,34.01837,-118.29048
71,34.01837,-118.29014
71,34.01837,-118.28952
71,34.01837,-118.28941
71,34.01838,-118.28904
71,34.01838,-118.28896
71,34.01838,-118.28779
71,34.01838,-118.28742
71,34.01838,-118.28663
71,34.01837,-118.28612
71,34.01837,-118.28537
71,34.01837,-118.28464
71,34.01835,-118.28365
71,34.01835,-118.28356
71,34.0183477,-118.2914598
71,34.0183522,-118.2835648
72,34.01835,-118.29146
72,34.01838,-118.29146
72,34.01838,-118.29139
72,34.01837,-118.29088
72,34.01837,-118.29057
72,34.01837,-118.29048
72,34.01837,-118.29014
72,34.01837,-118.28952
72,34.01837,-118.28941
72,34.01838,-118.28904
72,34.01838,-118.28896
72,34.01838,-118.28779
72,34.01838,-118.28742
72,34.01838,-118.28663
72,34.01837,-118.28612
72,34.01837,-118.28537
72,34.01837,-118.28464
72,34.01835,-118.28365
72,34.01835,-118.28356
72,34.01835,-118.28347
72,34.01835,-118.28338
72,34.0183477,-118.2914598
72,34.0183534,-118.2833819
73,34.01835,-118.29146
73,34.01838,-118.29146
73,34.01838,-118.29139
73,34.01837,-118.29088
73,34.01837,-118.29057
73,34.01837,-118.29048
73,34.01837,-118.29014
73,34.01837,-118.28952
73,34.01837,-118.28941
73,34.01838,-118.28904
73,34.01838,-118.28896
73,34.01838,-118.28779
73,34.01838,-118.28742
73,34.01838,-118.28663
73,34.01837,-118.28612
73,34.01837,-118.28537
73,34.01837,-118.28464
73,34.01835,-118.28365
73,34.01835,-118.28356
73,34.01835,-118.28347
73,34.01835,-118.28338
73,34.01835,-118.28323
73,34.0183477,-118.2914598
73,34.0183527,-118.2832265
74,34.01835,-118.29146
74,34.01838,-118.29146
74,34.01838,-118.29139
74,34.01837,-118.29088
74,34.01837,-118.29057
74,34.01837,-118.29048
74,34.01837,-118.29014
74,34.01837,-118.28952
74,34.01837,-118.28941
74,34.01838,-118.28904
